RegionCode,Region,Business R&D (£/person),Business R&D spending today,Public R&D (£/person),REF score,Median of Rateable Value (£/m2),GVA,GVA inverse population adjusted,Manufacturing as % of GDP,Manufacturing population adjusted,Population
UKF,East Midlands,352,1654861472,89,103976,85,159115,29.55,16,75220976,4701311
UKH,East of England,720,4393726560,208,141276,115,105100,58.06,11,67126378,6102398
UKI,London,263,2292898435,299,556575,352,436516,19.97,3,26154735,8718245
UKC,North East,115,302525210,124,60226,81,52637,49.98,14,36829156,2630654
UKD,North West,326,2347029176,114,152290,95,176629,40.76,14,100792664,7199476
UKN,Northern Ireland,259,480975432,90,41832,100,40096,46.32,12,22284576,1857048
UKM,Scotland,199,1072384135,234,262390,100,136866,39.37,10,53888650,5388865
UKJ,South East,522,4692717882,219,257652,130,267813,33.57,8,71919048,8989881
UKK,South West,273,1499944719,120,106993,100,134707,40.79,11,60437333,5494303
UKL,Wales,140,434871080,91,84061,88,62803,49.46,15,46593330,3106222
UKG,West Midlands,398,2301610916,83,100043,95,136272,42.44,14,80961188,5782942
UKE,Yorkshire and The Humber,139,751670161,120,127991,95,119011,45.44,14,75707786,5407699
