RegionCode,Region,Business R&D (£/person),Business R&D spending today,Public R&D (£/person),REF score,GVA per head (£),GVA inverse population adjusted,Manufacturing as % of GDP,Manufacturing population adjusted,Manufacturing GVA adjusted,Population
UKF,East Midlands,352,1654861472,89,585102.3507,22682,207.270567,16,75220976,16872,4701311
UKH,East of England,720,4393726560,208,749806.7055,26540,229.9321025,11,67126378,18487,6102398
UKI,London,263,2292898435,299,2287845.871,50547,172.4779908,3,26154735,8294,8718245
UKC,North East,115,302525210,124,391636.1958,20554,127.9874477,14,36829156,8025,2630654
UKD,North West,326,2347029176,114,767323.6095,25118,286.6261645,14,100792664,28133,7199476
UKN,Northern Ireland,259,480975432,90,221092.5862,22428,82.80042804,12,22284576,6412,1857048
UKM,Scotland,199,1072384135,234,1204134.452,26134,206.2013086,10,53888650,14493,5388865
UKJ,South East,522,4692717882,219,1594425.97,30356,296.1484056,8,71919048,22777,8989881
UKK,South West,273,1499944719,120,622046.5881,24891,220.7345225,11,60437333,14957,5494303
UKL,Wales,140,434871080,91,372334.9804,20738,149.7840679,15,46593330,10999,3106222
UKG,West Midlands,398,2301610916,83,585444.3076,23964,241.3178935,14,80961188,22487,5782942
UKE,Yorkshire and The Humber,139,751670161,120,737439.3713,22559,239.7135955,14,75707786,17354,5407699
